conversation_num,treatmentName,rewardExists,punishmentCost,punishmentMagnitude,total_costs,total_penalties,total_rewards,multiplier,punishmentExists,rewardExists.1,playerCount,numRounds,message,timestamp,speaker_nickname,score,message_lower_with_punc,num_words,num_chars,num_messages,info_exchange_wordcount,info_exchange_zscore_chats,info_exchange_zscore_conversation,num_question_naive,NTRI,word_TTR,first_pronouns_proportion,function_word_accommodation,content_word_accommodation
MnarujjeewXn9m7sz,4_T,True,3.0,9.0,1419,27,4230,5.6,True,True,6,15,nan,0,NULL_SPEAKER,1.2586309523809525,nan,1,3,1,1,-0.8889374551677366,,0,0,1.0,0.0,0,0.0
u5ha44udM2BMXBZnj,1_C,True,2.0,4.0,3280,0,6560,4.6,False,True,6,35,nan,0,NULL_SPEAKER,1.1433747412008282,nan,1,3,1,1,-0.8889374551677366,,0,0,1.0,0.0,0,0.09090909090909091
gSojrSFyc4ASdFmCt,8_C,False,2.0,7.0,0,0,0,1.0,False,False,3,10,nan,0,NULL_SPEAKER,1.0033333333333334,nan,1,3,1,1,-0.8889374551677366,,0,0,1.0,0.0,0,0.09090909090909091
vEWvuFNWzMJuyGdrH,0_T,False,3.0,9.0,0,0,0,1.3,True,False,2,20,nice if we contribute all of our coins each time we will get the most payout,1677262097074,L5Sy83kBiyXoDhg6D,1.0,"nice, if we contribute all of our coins each time, we will get the most payout.",16,76,1,16,2.2574929505599024,1.0,0,0,0.9375,0.1875,0,0.0
vEWvuFNWzMJuyGdrH,0_T,False,3.0,9.0,0,0,0,1.3,True,False,2,20,sounds good,1677262112288,zn7zNZvgQjhN4Qsty,1.0,sounds good.,2,11,1,2,-0.6791754281192274,-1.0,0,0,1.0,0.0,0,0.0
CgLiTN2jqAdKetEW4,3_T,False,4.0,13.0,4,13,0,4.0,True,False,4,45,nan,0,NULL_SPEAKER,0.9967361111111112,nan,1,3,1,1,-0.8889374551677366,,0,0,1.0,0.0,0,0.0
Rvu6PirXKhM3e2QNy,9_T,True,3.0,4.0,15,20,0,6.2,True,True,7,45,lets maximize bonus by adding 20 each round,1677262432045,hu6NsCTMTZjCaYn7W,0.9930875576036866,lets maximize bonus by adding 20 each round,8,43,1,8,0.5793967341718282,2.2137919133397594,0,0,1.0,0.125,0,0.0
Rvu6PirXKhM3e2QNy,9_T,True,3.0,4.0,15,20,0,6.2,True,True,7,45,agreed,1677262447560,6ujvPbtmpp5Rk4Yn4,0.9930875576036866,agreed,1,6,1,1,-0.8889374551677366,-0.8099238707340582,0,0,1.0,0.0,0,0.0
Rvu6PirXKhM3e2QNy,9_T,True,3.0,4.0,15,20,0,6.2,True,True,7,45,i agree,1677262355673,LiP2Tz788dPrJL9X7,0.9930875576036866,i agree.,2,7,1,1,-0.8889374551677366,-0.8099238707340582,0,0,1.0,0.5,0,0.0
Rvu6PirXKhM3e2QNy,9_T,True,3.0,4.0,15,20,0,6.2,True,True,7,45,agree,1677262456043,33AmrszcNBofe6kQK,0.9930875576036866,agree,1,5,1,1,-0.8889374551677366,-0.8099238707340582,0,0,1.0,0.0,0,0.3333333333333333
